,Unnamed: 0,numero_zona,sigla_uf,endereco,cep,bairro,nome_municipio,sigla_uf.1,lat,lon
0,0,1,01-0001,"FÓRUM ELEITORAL, BR 364, KM 02, ALAMEDA MIN. MIGUEL FERRANTE, S/N",69915632,PORTAL DA AMAZONIA,RIO BRANCO,AC,-9.9765362,-67.8220778
1,1,2,01-0002,"RUA CORONEL BRANDÃO, 1972",69930000,AEROPORTO,XAPURI,AC,-1.1228412,-47.7518057
2,2,3,01-0003,"RUA CUNHA VASCONCELOS, 659",69940000,CENTRO,SENA MADUREIRA,AC,-9.0659556,-68.6571058
3,3,4,01-0004,"AV. 25 DE AGOSTO, 4661 - AEROPORTO VELHO",69980000,AEROPORTO VELHO,CRUZEIRO DO SUL,AC,-7.6307956,-72.6703869
4,4,5,01-0005,"RUA FLORIANO PEIXOTO, 160",69970000,CENTRO,TARAUACÁ,AC,-8.1602019,-70.7665368
5,5,6,01-0006,"AV.  RUI LINO,  N. 1128 - CENTRO",69932000,CENTRO,BRASILÉIA,AC,-11.0010413,-68.7487894
6,6,7,01-0007,"RUA CORNELIO DE OLIVEIRA LIMA, 81",69960000,CIDADE NOVA,FEIJÓ,AC,-8.1648652,-70.3539579
7,7,8,01-0008,"RUA 03 DE MAIO, 1.397",69925000,CENTRO,SENADOR GUIOMARD,AC,-10.150919,-67.73595
8,8,9,01-0009,"ALAMEDA MINISTRO MIGUEL FERRANTE, 303 - PORTAL DA AMAZÔNIA",69914318,PORTAL DA AMAZONIA,RIO BRANCO,AC,-9.9765362,-67.8220778
9,9,1,02-0001,"AVENIDA FERNANDES LIMA, 3487",57057000,FAROL,MACEIÓ,AL,-9.6476843,-35.7339264
10,10,2,02-0002,"AVENIDA FERNANDES LIMA, 3487",57052000,FAROL,MACEIÓ,AL,-9.6476843,-35.7339264
11,11,3,02-0003,"AV FERNANDES LIMA, 3487",57057900,FAROL,MACEIÓ,AL,-9.6476843,-35.7339264
12,12,5,02-0005,"RUA FREDERICO MAIA, S/N",57700000,CENTRO,VIÇOSA,AL,-9.3728032,-36.2432636
13,13,6,02-0006,"AV. PEDRO PEREIRA ACIOLI, SN",57690000,JOSE PAULINO,ATALAIA,AL,-9.5029595,-36.0219316
14,14,7,02-0007,"RUA C, N. 167, CONJ. HABIT. RUBENS WANDERLEY, COM. TERCIO VANDERLEY",57230000,COMENDADOR TERCIO WANDERLEY,CORURIPE,AL,-10.1249963,-36.1760623
15,15,8,02-0008,"PRAÇA MARECHAL FLORIANO PEIXOTO, 337",57150000,CENTRO,PILAR,AL,-9.6016711,-35.9511275
16,16,9,02-0009,"RUA JOÃO LOPES FERREIRA, S/N - CENTRO",57820000,CENTRO,MURICI,AL,-9.306823,-35.942798
17,17,10,02-0010,"PRAÇA DA INDEPENDÊNCIA, 252",57600010,CENTRO,PALMEIRA DOS ÍNDIOS,AL,-9.4076249,-36.6323616
18,18,11,02-0011,"AVENIDA FERREIRA DE NOVAES, 949",57400000,CENTRO,PÃO DE AÇÚCAR,AL,-9.7496551,-37.4329891
19,19,12,02-0012,"RUA FRANCISCO PIMENTEL, 38",57930000,CENTRO,PASSO DE CAMARAGIBE,AL,-9.2367833,-35.4901015
20,20,13,02-0013,"RODOVIA ENGENHEIRO JOAQUIM GONÇALVES, 502",57200000,SANTA LUZIA,PENEDO,AL,-10.2872341,-36.5819262
21,21,14,02-0014,"RUA DA JAQUEIRA, PORTO CALVO/AL - PRAÇA BATISTA ACIOLY, MARAGOGI/AL",57900000,CENTRO,PORTO CALVO,AL,-9.051948,-35.398653
22,22,15,02-0015,"AV. PRESIDENTE FERNANDO COLLOR DE MELO,48",57100000,TABULEIRO DO PINTO,RIO LARGO,AL,-9.477829,-35.839435
23,23,16,02-0016,"PÇA. OSMAN COSTA PINO, S/N",57860000,CENTRO,SÃO JOSÉ DA LAJE,AL,-9.0093044,-36.056732
24,24,17,02-0017,"RUA COELHO CAVALCANTE, 73",57920000,CENTRO,SÃO LUÍS DO QUITUNDE,AL,-9.3181755,-35.5605097
25,25,18,02-0018,"RUA CEL FRANCISCO CAVALCANTE, 51",57240078,CENTRO,SÃO MIGUEL DOS CAMPOS,AL,-9.7831115,-36.0967804
26,26,19,02-0019,"AV. PRESIDENTE DUTRA, N 385  BR 316",57500000,MONUMENTO,SANTANA DO IPANEMA,AL,-9.369989,-37.248018
27,27,20,02-0020,ISMAR DE GOES MONTEIRO S/N,57370000,CENTRO,TRAIPU,AL,-9.967583,-37.0015357
28,28,21,02-0021,"RUA MARECHAL DEODORO DA FONSECA, SEM NUMERO",57800000,CENTRO,UNIÃO DOS PALMARES,AL,-9.1576807,-36.0342251
29,29,22,02-0022,"RUA GERVÁSIO DE OLIVEIRA LIMA, 147",57312630,NOVO HORIZONTE,ARAPIRACA,AL,-9.754866,-36.661471
30,30,26,02-0026,"RUA CAPITÃO BERNARDINO SOUTO, 225",57160000,CENTRO,MARECHAL DEODORO,AL,-9.709715,-35.896731
31,31,27,02-0027,"PRAÇA CEL JOSÉ MALTA DE SÁ, 14",57540000,CENTRO,MATA GRANDE,AL,-9.118243,-37.732298
32,32,28,02-0028,"RUA 13 DE JUNHO, N 216",57750000,CENTRO,QUEBRANGULO,AL,-9.3217611,-36.4735837
33,33,29,02-0029,"RUA GETÚLIO VARGAS, 92",57420000,CENTRO,BATALHA,AL,-9.6733809,-37.1265481
34,34,31,02-0031,"R. PROFA. MARIA JOSÉ DE R. BARROS, SN - FÓRUM ELEITORAL",57580000,CENTRO,MAJOR ISIDORO,AL,-9.504550250000001,-37.029352117480855
35,35,33,02-0033,"AVENIDA FERNANDES LIMA, 3487",57057000,FAROL,MACEIÓ,AL,-9.6476843,-35.7339264
36,36,34,02-0034,"RUA PEDRO CAVALCANTE, N 458",57265000,CENTRO,TEOTÔNIO VILELA,AL,-9.9062736,-36.3571341
37,37,37,02-0037,"AV GOVERNADOR MOACIR ANDRADE, 621, CENTRO",57290000,CENTRO,PORTO REAL DO COLÉGIO,AL,-8.0017292,-35.0113758
38,38,39,02-0039,"RUA BARÃO DE ÁGUA BRANCA, S/N",57490000,CENTRO,ÁGUA BRANCA,AL,-0.950325,-48.048525
39,39,40,02-0040,"RUA VEREADOR JOÃO DANTAS FEITOSA, N 424 A E B",57480000,CENTRO,DELMIRO GOUVEIA,AL,-9.3841161,-37.997756
40,40,44,02-0044,"AVENIDA PROGRESSO, N. 360.",57360000,PROGRESSO,GIRAU DO PONCIANO,AL,-9.884041,-36.831592
41,41,45,02-0045,"RUA JURACY TENÓRIO CAVALCANTE, 53",57620000,CENTRO,IGACI,AL,-9.537678,-36.637191
42,42,46,02-0046,RUA SARGENTO BENEVIDES,57570000,CENTRO,CACIMBINHAS,AL,-9.401212,-36.991082
43,43,47,02-0047,"AV JOÃO FERNANDES VIEIRA, 495",57250000,CENTRO,CAMPO ALEGRE,AL,-26.1941684,-49.2657484
44,44,48,02-0048,"RUA LADISLAU COIMBRA, N. 128",57680000,CENTRO,BOCA DA MATA,AL,-9.6452054,-36.2116658
45,45,49,02-0049,"RUA VEREADORA MARIA JOSÉ PEREIRA PACHECO, 01",57275000,CENTRO,SÃO SEBASTIÃO,AL,-9.9315057,-36.5439245
46,46,50,02-0050,"RUA SETE DE SETEMBRO, S.N",57520000,CENTRO,MARAVILHA,AL,-2.513053,-60.776678
47,47,51,02-0051,"AV. MANOEL MACIANO, 621",57445000,CENTRO,SÃO JOSÉ DA TAPERA,AL,-9.5584287,-37.3818893
48,48,53,02-0053,"PRACA LAURENTINO GOMES DE BARROS, 02",57980000,CENTRO,JOAQUIM GOMES,AL,-9.1372894,-35.7518862
49,49,54,02-0054,"AVENIDA FERNANDES LIMA, 3487",57057000,FAROL,MACEIÓ,AL,-9.6476843,-35.7339264
50,50,55,02-0055,"RUA GERVASIO DE OLIVEIRA LIMA, N 147",57312620,NOVO HORIZONTE,ARAPIRACA,AL,-10.7096742,-48.3901674
